Iter,Rnd,Strategic Player,Market Price,Strategic Profit,Bid G0,Bid G1,Bid G2,Bid G3,Dispatch G0,Dispatch G1,Dispatch G2,Dispatch G3
1,1,G2,179.93,899.55,99.99,100.0,139.99,179.98,55.0,60.0,45.0,0.0
1,2,G0,179.93,3299.45,99.99,100.0,139.99,179.98,55.0,60.0,45.0,0.0
1,3,G1,179.93,2399.4,99.99,100.0,139.99,179.98,55.0,60.0,45.0,0.0
1,4,G3,179.93,-0.0,99.99,100.0,139.99,179.98,55.0,60.0,45.0,0.0
2,1,G3,179.92,-0.0,179.97,120.01,120.0,179.98,35.0,60.0,65.0,0.0
2,2,G0,179.92,3498.95,179.97,120.01,120.0,179.98,35.0,60.0,65.0,0.0
2,3,G2,179.92,3898.05,179.97,120.01,120.0,179.98,35.0,60.0,65.0,0.0
2,4,G1,179.92,4798.2,179.97,120.01,120.0,179.98,35.0,60.0,65.0,0.0
3,1,G1,179.9,4798.2,179.96,120.01,120.02,179.96,35.0,60.0,65.0,35.0
3,2,G2,179.9,3898.05,179.96,120.01,120.02,179.96,35.0,60.0,65.0,35.0
3,3,G3,179.9,1398.6,179.96,120.01,120.02,179.96,35.0,60.0,65.0,35.0
3,4,G0,179.9,3498.566,179.96,120.01,120.02,179.96,35.0,60.0,65.0,35.0
4,1,G3,179.89,1398.25,179.94,120.01,120.0,179.95,35.0,60.0,65.0,35.0
4,2,G0,179.89,3497.9,179.94,120.01,120.0,179.95,35.0,60.0,65.0,35.0
4,3,G2,179.89,3896.1,179.94,120.01,120.0,179.95,35.0,60.0,65.0,35.0
4,4,G1,179.89,4796.4,179.94,120.01,120.0,179.95,35.0,60.0,65.0,35.0
5,1,G2,179.88,3896.1,179.94,119.99,120.0,179.94,35.0,60.0,65.0,35.0
5,2,G0,179.88,3497.9,179.94,119.99,120.0,179.94,35.0,60.0,65.0,35.0
5,3,G3,179.88,1397.886,179.94,119.99,120.0,179.94,35.0,60.0,65.0,35.0
5,4,G1,179.88,4796.4,179.94,119.99,120.0,179.94,35.0,60.0,65.0,35.0
6,1,G0,179.88,3497.866,179.94,100.0,120.0,179.93,0.0,60.0,65.0,35.0
6,2,G1,179.88,4796.4,179.94,100.0,120.0,179.93,0.0,60.0,65.0,35.0
6,3,G3,179.88,1397.55,179.94,100.0,120.0,179.93,0.0,60.0,65.0,35.0
6,4,G2,179.88,3895.45,179.94,100.0,120.0,179.93,0.0,60.0,65.0,35.0
7,1,G3,179.87,1397.55,179.92,100.0,120.0,179.93,35.0,60.0,65.0,0.0
7,2,G2,179.87,3895.45,179.92,100.0,120.0,179.93,35.0,60.0,65.0,0.0
7,3,G1,179.87,4795.8,179.92,100.0,120.0,179.93,35.0,60.0,65.0,0.0
7,4,G0,179.87,3497.2,179.92,100.0,120.0,179.93,35.0,60.0,65.0,0.0
8,1,G3,179.86,1396.85,179.9,100.0,120.0,179.91,35.0,60.0,65.0,0.0
8,2,G1,179.86,4794.6,179.9,100.0,120.0,179.91,35.0,60.0,65.0,0.0
8,3,G0,179.86,3496.5,179.9,100.0,120.0,179.91,35.0,60.0,65.0,0.0
8,4,G2,179.86,3893.5,179.9,100.0,120.0,179.91,35.0,60.0,65.0,0.0
9,1,G0,179.85,3496.5,179.9,100.0,120.0,179.89,0.0,60.0,65.0,35.0
9,2,G2,179.85,3893.5,179.9,100.0,120.0,179.89,0.0,60.0,65.0,35.0
9,3,G3,179.85,1396.15,179.9,100.0,120.0,179.89,0.0,60.0,65.0,35.0
9,4,G1,179.85,4793.4,179.9,100.0,120.0,179.89,0.0,60.0,65.0,35.0
10,1,G0,179.84,3495.8,179.88,120.01,120.0,179.88,0.0,60.0,65.0,35.0
10,2,G1,179.84,4792.8,179.88,120.01,120.0,179.88,0.0,60.0,65.0,35.0
10,3,G2,179.84,3892.2,179.88,120.01,120.0,179.88,0.0,60.0,65.0,35.0
10,4,G3,179.84,1395.786,179.88,120.01,120.0,179.88,0.0,60.0,65.0,35.0
11,1,G3,179.83,1395.786,179.88,119.99,120.0,179.88,35.0,60.0,65.0,0.0
11,2,G2,179.83,3892.2,179.88,119.99,120.0,179.88,35.0,60.0,65.0,0.0
11,3,G1,179.83,4792.8,179.88,119.99,120.0,179.88,35.0,60.0,65.0,0.0
11,4,G0,179.83,3495.766,179.88,119.99,120.0,179.88,35.0,60.0,65.0,0.0
12,1,G0,179.83,3495.766,179.88,100.0,120.0,179.87,0.0,60.0,65.0,35.0
12,2,G1,179.83,4792.8,179.88,100.0,120.0,179.87,0.0,60.0,65.0,35.0
12,3,G2,179.83,3892.2,179.88,100.0,120.0,179.87,0.0,60.0,65.0,35.0
12,4,G3,179.83,1395.45,179.88,100.0,120.0,179.87,0.0,60.0,65.0,35.0
13,1,G0,179.82,3495.1,179.86,120.01,120.0,179.86,0.0,60.0,65.0,35.0
13,2,G2,179.82,3890.9,179.86,120.01,120.0,179.86,0.0,60.0,65.0,35.0
13,3,G1,179.82,4791.6,179.86,120.01,120.0,179.86,0.0,60.0,65.0,35.0
13,4,G3,179.82,1395.086,179.86,120.01,120.0,179.86,0.0,60.0,65.0,35.0
14,1,G3,179.81,1395.086,179.85,120.01,120.0,179.86,35.0,60.0,65.0,0.0
14,2,G0,179.81,3494.75,179.85,120.01,120.0,179.86,35.0,60.0,65.0,0.0
14,3,G1,179.81,4791.0,179.85,120.01,120.0,179.86,35.0,60.0,65.0,0.0
14,4,G2,179.81,3890.25,179.85,120.01,120.0,179.86,35.0,60.0,65.0,0.0
15,1,G1,179.8,4791.0,179.84,120.01,120.0,179.85,35.0,60.0,65.0,0.0
15,2,G3,179.8,1394.736,179.84,120.01,120.0,179.85,35.0,60.0,65.0,0.0
15,3,G2,179.8,3890.25,179.84,120.01,120.0,179.85,35.0,60.0,65.0,0.0
15,4,G0,179.8,3494.4,179.84,120.01,120.0,179.85,35.0,60.0,65.0,0.0
16,1,G3,179.8,1394.386,179.83,120.01,120.0,179.84,35.0,60.0,65.0,0.0
